Order ID	Line ID	Sku ID	Qty Ordered	Qty Picked	Qty Shipped	Req Batch ID
184878	1	'057002	1500		0	JE29
184880	1	'057118	1500	0	0	
184888	1	'008958	1998	1998	1998	HX26
184889	1	'057118	1000	1000	1000	JA90
186559	1	'005290	144	0	0	182
186559	2	'002909	72	0	0	JA00
186559	3	'005061	144	0	0	JC74
186559	4	00202X	144	0	0	HZ91
186559	5	'001430	120			JA83
186559	6	'004103	72			JJ24
186559	7	'005576	144			HT02
186559	8	'004227	144	0	0	HZ99
186559	9	'040045	144	0	0	7570
186559	10	'002089	72			HN02
186559	11	00233X	144	0	0	HM06
186559	12	'006009	144	0	0	JD96
186559	13	'006122	72	0	0	HN94
186559	14	00622X	48	0	0	
186559	15	'026794	72	0	0	H02
186559	16	'026700	48	0	0	XN10938
186559	17	'026824	72	0	0	XN10673
186559	18	'026727	48			XP10066
186559	19	'026840	72	0	0	XN10971
186559	20	'018406	144			HT28
186559	21	'003662	72	0	0	M39
186559	22	'002577	72			JB27
186559	23	'008729	144	0	0	JG41
186559	24	'002682	144	0	0	HT47
186559	25	'001031	144	0	0	HH95
186559	26	'001015	72	0	0	
186559	27	'002003	144	0	0	HW05
186559	28	'001171	288	0	0	
186559	29	'044326	144	0	0	HA27
186559	30	'001619	72	0	0	48622
186559	31	'086312	72	0	0	7219528
186559	32	'089303	72	0	0	JD26
186559	33	'089311	72	0	0	14D08112
186559	34	'089508	144	0	0	JG62
186559	35	'087653	72	0	0	82614
187195	1	'089737	72	0	0	HX69
187195	2	'089028	72	0	0	HK29
187195	3	'005061	48	0	0	JC74
187195	4	'006394	72	0	0	
187195	5	'005630	96	0	0	CS1213
187195	6	'005576	18			HT02
187195	7	'005576	30			HT02
187195	8	'004227	48	0	0	HZ99
187195	9	'087300	96	0	0	HX83
187195	10	'002003	48	0	0	HK07
187195	11	'001910	96			HW98
187195	12	'044326	48	0	0	GW92
187195	13	'001171	96	0	0	
187195	14	'044075	80	0	0	W224
187195	15	'044059	60	0	0	W524
187195	16	'044245	60	0	0	W314
187195	17	'001619	18	0	0	48622
187195	18	'001619	30	0	0	
187195	19	'001570	48	0	0	HB37
187195	20	'001104	72	0	0	82105
187195	21	'089575	48	0	0	BSL0676
187195	22	'089591	48			BSL0340
187195	23	'002224	48	0	0	JD84
187195	24	'087653	120	0	0	82614
187195	25	'005932	144			JB16
187195	26	'040231	48	0	0	HN95
187195	27	'059005	48	0	0	
187195	28	'026743	48			HX02
187195	29	'026700	48	0	0	XN10938
187195	30	'026824	48	0	0	XN10673
187195	31	'019119	144			HZ79
187195	32	'089303	48			HX68
187195	33	'089311	48	0	0	14D08112
187195	34	'001023	48	0	0	
187195	35	'005029	192	0	0	HY48
187195	36	'005169	120			HZ39
187195	37	'014001	72	0	0	HZ85
187195	38	'014087	48	0	0	HT94
187195	39	'014117	72	0	0	HZ90
187195	40	'014176	72	0	0	HN13
187195	41	'014273	48	0	0	JD12
187195	42	'006602	240	0	0	
187195	43	'008729	48	0	0	HZ70
187195	44	'089508	48	0	0	JG62
187195	45	'086126	48	0	0	47236A
187195	46	'002682	120	0	0	HT47
187195	47	'030015	480	0	0	
187195	48	'030023	480	0	0	JC01
187195	49	'030236	48	0	0	
187195	50	'009172	48			JB97
187195	51	'008478	240	0	0	JG48
187195	52	'008451	240	0	0	JM40
187195	53	'044288	96	0	0	
187196	1	'001031	480	0	0	HH95
187196	2	'040029	12	0	0	
187196	3	'040029	36	0	0	JD49
187196	4	'006009	240	0	0	JD96
187196	5	00622X	48			
187196	6	'006246	72	0	0	HW12
187196	7	'004944	24			JC98
187196	8	'004944	1176	0	0	JG17
187196	9	'040088	48	0	0	HV16
187942	1	'087378	4404			
187970	1	'001619	312	312	312	48687
188043	1	'044075	560	560	560	W284
188043	2	'089575	132	132	132	BSL0682
188043	3	'089575	12	12	12	BSL0682
188043	4	'089575	132	132	132	BSL0682
188043	5	'089575	12	12	12	BSL0682
188043	6	'088501	660	660	660	JJ70
188043	7	'088501	60	60	60	JJ70
188043	8	'088501	660	660	660	JJ70
188043	9	'088501	60	60	60	JJ70
188085	1	'089303	0	0	0	JD26
188085	2	'089303	0	0	0	JD26
188085	3	'089303	4560	0	0	JD26
188085	4	'089303	228	0	0	JD26
188101	1	'030236	1056	0	0	JL70
188114	1	'002003	2520	0	0	
188114	2	'002003	480	0	0	HW05
188114	3	'001724	2040	0	0	HT60
188114	4	'001910	2520	0	0	JD31
188114	5	'001910	480	0	0	JD31
188114	6	'008575	3960	0	0	
188114	7	'008575	3960	0	0	
188114	8	'008575	1080	0	0	
188114	9	'008575	900	0	0	
188114	10	'008575	3960	0	0	
188114	11	'008575	3960	0	0	
188114	12	'008575	1080	0	0	
188114	13	'008575	900	0	0	
188114	14	'089737	6720	0	0	HR61
188114	15	'089737	1920	0	0	HR61
188114	16	'089737	864	0	0	HR61
188114	17	'089737	6720	0	0	HR61
188114	18	'089737	1920			HR61
188114	19	'089737	864			HR61
188114	20	'089303	2880	0	0	JD26
188114	21	'089303	1440	0	0	
188114	22	'089303	432	0	0	
188114	23	'089303	2880	0	0	JD26
188114	24	'089303	1440	0	0	
188114	25	'089303	432	0	0	
188114	26	'086312	1620	0	0	7219528
188114	27	'086312	168	0	0	7219528
188114	28	'086312	1620	0	0	7219528
188114	29	'086312	168	0	0	7219528
188114	30	'086320	1620	0	0	7219530
188114	31	'086320	162	0	0	7219530
188114	32	'086320	1620	0	0	7219530
188114	33	'086320	162	0	0	7219530
188330	1	'002003	144			HK07
188330	2	'044024	48			EA63
188330	3	'001171	96			HX78
188330	4	'044326	48	0	0	HA27
188330	5	'044083	32	0	0	W404
188330	6	'044245	40	0	0	W314
188330	7	'001724	48			HT60
188330	8	'001619	72	0	0	48622
188330	9	'002909	48	0	0	JD85
188330	10	'001430	240	0	0	
188330	11	'004227	96	0	0	
188330	12	'005932	48	0	0	JB17
188330	13	00233X	48	0	0	HM06
188330	14	'040088	96	0	0	HV16
188330	15	'018406	96	0	0	JD44
188330	16	'008702	144	0	0	HR89
188330	17	'002828	144	0	0	
188330	18	'044288	48	0	0	
188330	19	'002577	48			JB27
188332	1	'002909	48	0	0	JD85
188332	2	'005061	600	0	0	JC74
188332	3	'006394	720	0	0	
